Date,Open,High,Low,Close,Volume
2020-07-22,492.19,497.2,487.2,489.82,6954078
2020-07-23,491.13,491.9,472.0201,477.58,7722034
2020-07-24,468.77,487.17,467.54,480.45,7746247
2020-07-27,484.51,496.92,482.31,495.65,7863069
2020-07-28,496.02,497.7927,487.7601,488.51,5986727
2020-07-29,492.25,494.92,484.13,484.48,6611769
2020-07-30,480.7072,488.35,477.5101,485.8,6608569
2020-07-31,488.29,494.8,484.5,488.88,5924310
2020-08-03,490.86,503.09,490.23,498.62,5876190
2020-08-04,498.65,510.4436,498.65,509.64,5607968
2020-08-05,508.68,510.1021,501.2,502.11,4313526
2020-08-06,504.11,510.82,498.7,509.08,3725861
2020-08-07,505.45,508.29,486.68,494.73,5910348
2020-08-10,493.35,497.4584,478.6269,483.38,4691185
2020-08-11,479.75,480.92,466.55,466.93,7329226
2020-08-12,471.34,482.49,470.18,475.47,5441243
2020-08-13,478.4,484.45,476.45,481.33,3008933
2020-08-14,482.82,488.325,480.21,482.68,2943487
2020-08-17,484.19,486.24,479.1,482.35,2423545
2020-08-18,484.35,495.3,482.8,491.87,3505518
2020-08-19,493.93,494.4985,483.5,484.53,3156218
2020-08-20,484.69,498.94,483.89,497.9,5132480
2020-08-21,496.46,498.13,490,492.31,3921293
2020-08-24,495.4383,501,483.16,488.81,4762183
2020-08-25,488.19,492.47,485.09,490.58,5727721
2020-08-26,492.5,549.04,492.075,547.53,20373681
2020-08-27,537.775,541,521.2471,526.27,9062912
2020-08-28,532,539,522,523.89,4417517
2020-08-31,521.16,531.99,517.58,529.56,4941409
2020-09-01,532.6,557.3895,532.45,556.55,9581907
2020-09-02,553.78,556.5,537.369,552.84,5886930
2020-09-03,545,554,521.32,525.75,9071089
2020-09-04,520.18,527.36,485.98,516.05,8270118
2020-09-08,498.4,522,495,507.02,5572684
2020-09-09,519.21,520,492.5743,500.19,6848127
2020-09-10,503.35,506.29,478.84,480.67,6240181
2020-09-11,486.485,493.73,476.81,482.03,5035200
2020-09-14,480.62,488.99,471.3001,476.26,7359126
2020-09-15,484,497.47,481.63,495.99,5336992
2020-09-16,499.99,504.66,483.31,483.86,4401412
2020-09-17,475.16,478.4,463.27,470.2,5379301
2020-09-18,472.51,479.4,458.6,469.96,6717711
2020-09-21,467.6923,487.775,466.32,487.35,5457539
2020-09-22,489.01,491.82,479.26,491.17,3482324
2020-09-23,491.04,491.04,469,470.61,3726423
2020-09-24,470.53,477,467.82,473.08,3727201
2020-09-25,474.49,484.87,468.0258,482.88,3769436
2020-09-28,489.1094,492,477.88,490.65,4773497
2020-09-29,489.5,496.2868,486.53,493.48,3543193
2020-09-30,492.57,504.63,489.2704,500.03,4634111
2020-10-01,506.03,529.55,503.6,527.51,8153710
2020-10-02,516.43,526.3714,502.7,503.06,6071165
2020-10-05,506.8,520.99,501.6997,520.65,4088069
2020-10-06,518.72,521.82,504.16,505.87,4199034
2020-10-07,518,536.49,515.815,534.66,7988683
2020-10-08,533.48,535,524.15,531.79,5386488
2020-10-09,537.8339,544.28,535,539.44,4781259
2020-10-12,548.81,551.81,538.24,539.81,5391074
2020-10-13,540.56,557.65,537.2,554.09,5602498
2020-10-14,562.61,572.49,541,541.45,9510081
2020-10-15,545.52,551.22,535.1,541.94,5113126
2020-10-16,549.5,554.33,530.03,530.79,6347363
2020-10-19,537.07,541.8,525.38,530.72,7567506
2020-10-20,528.14,533.78,522.26,525.42,10047175
2020-10-21,501.03,506.85,488.25,489.05,17405708
2020-10-22,494.69,495.14,482,485.23,6997922
2020-10-23,488.11,490.06,481.35,488.28,4927862
2020-10-26,487.025,496.82,478.9,488.24,6186087
2020-10-27,490.01,490.49,482.93,488.93,3627175
2020-10-28,486.36,494,483.28,486.24,5992731
2020-10-29,488.5,513.8999,479.34,504.21,11120689
2020-10-30,502.01,505.88,472.21,475.74,7813897
2020-11-02,478.87,486.3,475,484.12,4408193
2020-11-03,484.93,495.305,478.76,487.22,3690213
2020-11-04,495.36,507.73,493.98,496.95,5137330
