Date,Open,High,Low,Close,Volume,Quarter_Sin,Quarter_Cos,Pct_Price,Pct_PriceN,GARCH_Sig,EMA_SHORT,EMA_LONG,DEMA_SHORT,DEMA_LONG,MACD_HIST,RSI,PLUS_DI,MINUS_DI,EPS,Pct_Surprise,Pct_EPS,Pct_EPS_YTY,PCT_REALGDP,INFLATION,FFR,T10Y2Y,Label
2015-01-27,78.759,78.9454,77.185,77.9575,5755092.8215669,0.0,1.0,-2.1875509717569352,-2.953562861243797,1.2842608984809678,79.32864883425593,80.1928758744913,78.88085667638727,79.5231557539097,-0.1421436723240852,32.62468110649789,5.643645154015394,18.87849090965147,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.29,0
2015-01-28,79.4418,79.6542,76.9068,76.9736,5203792.4251512,0.0,1.0,-1.262097937979012,-3.560828258099602,1.4209612190955945,78.54363255617062,79.8862781721588,77.72176026553464,79.00294299904603,-0.26363420091977613,30.89366388574743,8.598279927556346,16.111026878363077,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.23,0
2015-01-29,76.5908,77.7482,76.0974,77.5827,6575630.2869545,0.0,1.0,0.7913102674163675,-3.5577235044695232,1.4023358067970146,78.22332170411376,79.66688977481034,77.46186627565186,78.669187496774,-0.28299117008643404,34.63285029897406,7.835467301959412,14.68170673320706,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.26,0
2015-01-30,80.1207,80.8425,77.6814,78.2027,13983788.674954,0.0,1.0,0.7991472325659998,-2.7990906684134176,1.3515816250679198,78.21644780274251,79.52744312959031,77.7042282495204,78.49859410378693,-0.2359774718937624,38.66202884644213,21.962645558648042,12.300067497993009,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.21,0
2015-02-02,77.8798,79.3492,76.8232,79.1079,11093718.455012,0.0,1.0,1.1575047920340475,-0.7441562841118632,1.3211207849931976,78.51359853516168,79.4874866410579,78.37021932129305,78.52047212808742,-0.13108982284690074,42.940331285190275,19.283515877327186,10.799634600320207,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.19,0
2015-02-03,79.395,79.9672,78.5945,79.8974,8905784.0668374,0.0,1.0,0.9980039920159722,2.488407144918714,1.3227239668606148,78.97486569010779,79.5265260085762,79.18679098415944,78.68692944840518,-0.002511209971735817,52.121638924455844,17.96709452795346,18.8713506651332,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.27,1
2015-02-04,79.9373,81.0069,79.6253,80.2533,5165124.0546422,0.0,1.0,0.445446284860318,4.260811499007433,1.31379460416008,79.40101046007186,79.59574257918798,79.826390502749,78.89873211244392,0.10651052123193405,53.76914948143743,22.010455993756995,17.539378121289758,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.29,1
2015-02-05,80.6371,81.9062,80.0839,81.8174,5691949.6306133,0.0,1.0,1.9489541240048869,5.458304493140864,1.288152205900846,80.20647364004792,79.8073290002177,81.02703578848339,79.36813581599998,0.2744210209858422,54.73133736492519,24.561089799763636,15.903030996019938,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.31,0
2015-02-06,81.7686,81.7686,80.044,80.2344,5812021.5067146,0.0,1.0,-1.9347962658309958,2.5979921409363005,1.3695000234672692,80.21578242669861,79.8480024287684,80.76902971675605,79.48743693554584,0.26897368332891003,46.03962800184542,22.32117817419369,14.452713265813722,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.3,0
2015-02-09,80.0539,80.8713,79.711,80.6471,4144355.111871,0.0,1.0,0.5143679020469971,1.94569695314879,1.4368011655572566,80.35955495113241,79.92410695936188,80.8242348274599,79.6667375169832,0.28190243637238926,50.45617444413597,20.940180480662626,13.558532701974576,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.31,0
2015-02-10,81.1983,81.2083,79.9772,80.3001,4659140.8979013,0.0,1.0,-0.4302696563174502,0.5040214074550464,1.365477462618744,80.33973663408828,79.95991582037503,80.63631100694386,79.7594562467586,0.25654642858676047,52.737824380914674,21.375398488824242,12.641345722563987,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.34,0
2015-02-11,80.3001,80.8325,80.026,80.5225,4249559.3220238,0.0,1.0,0.27696104986170145,0.3354379196867985,1.3270167881245085,80.40065775605886,80.0134952660536,80.63898808594296,79.88060372172886,0.2442765348124919,52.85596816103671,20.377310596685504,12.333613119937374,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.33,0
2015-02-12,81.4446,83.8759,81.3319,83.4363,7398459.9469774,0.0,1.0,3.6186159148064334,1.9786744628893072,1.2974094385831598,81.41253850403925,80.33947666928658,82.2460125559489,80.51417701782262,0.4120540766510257,60.729955348476004,32.81134382903496,10.154582546459721,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.38,1
2015-02-13,83.7363,83.8859,82.58,83.0765,5780983.0847383,0.0,1.0,-0.43122717570170943,3.54224621857957,1.5878396236096461,81.96719233602617,80.60014555792596,82.89261092529055,80.99405105822751,0.47403402818662904,63.52965069049551,30.49257547048813,16.191143854677804,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.36,0
2015-02-17,83.8291,84.0544,83.1701,83.4363,5332103.1610079,0.0,1.0,0.4330947981679545,3.4585248570624394,1.4648134269102782,82.45689489068413,80.87025550479015,83.40030898663234,81.47103138555917,0.5112957797294992,61.007853890343306,28.807610772965027,18.630928545525084,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.44,1
2015-02-18,83.1223,83.7463,82.8003,83.6407,3119552.5084305,0.0,1.0,0.24497730604065016,4.160144258848986,1.3877206232139951,82.85149659378942,81.13410736147681,83.74350712649175,81.91638960012719,0.520028708336251,60.42301589300554,27.20053438872739,17.591573858393893,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.45,1
2015-02-19,83.5429,85.2605,83.4941,85.0412,5529244.9405897,0.0,1.0,1.6744240543180577,5.6117234313390885,1.3365179835855268,83.58139772919296,81.50621142228854,84.66267217459686,82.55065616942093,0.5855695859487662,65.58241338796344,33.242592570948226,15.775340552173251,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.44,1
2015-02-20,84.8668,86.697,84.7312,86.5545,6583504.000606,0.0,1.0,1.7794904117063304,3.7372222881407735,1.3697263985004975,84.57243181946198,81.98700081064202,85.95397084324394,83.36697455227208,0.6891448252833169,67.30664642298714,37.73101022112181,13.997715833707279,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.46,1
2015-02-23,86.687,86.8914,85.7441,86.8714,4527471.620408,0.0,1.0,0.3661276998885077,4.567958447936538,1.3936911921358992,85.338754546308,82.45218168581897,86.77066238005997,84.12160729150152,0.7332075270533855,67.86535623799311,35.174252529636824,19.03166442437951,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.42,1
